epoch,bbox_mAP,bbox_mAP_50
1,0.0,0.0
2,0.004,0.01
3,0.035,0.078
4,0.077,0.208
5,0.165,0.39
6,0.248,0.528
7,0.286,0.61
8,0.339,0.674
9,0.394,0.736
10,0.388,0.753
11,0.401,0.765
12,0.407,0.779
13,0.431,0.801
14,0.419,0.786
15,0.454,0.808
16,0.449,0.817
17,0.463,0.827
18,0.444,0.803
19,0.472,0.836
20,0.473,0.828
21,0.467,0.824
22,0.376,0.683
23,0.448,0.82
24,0.474,0.842
25,0.467,0.831
26,0.463,0.821
27,0.481,0.829
28,0.496,0.859
29,0.487,0.842
30,0.483,0.861
31,0.485,0.853
32,0.486,0.837
33,0.507,0.86
34,0.463,0.85
35,0.493,0.865
36,0.498,0.863
37,0.475,0.834
38,0.486,0.859
39,0.493,0.844
40,0.493,0.853
41,0.493,0.877
42,0.506,0.869
43,0.506,0.871
44,0.503,0.857
45,0.503,0.861
46,0.506,0.854
47,0.523,0.868
48,0.513,0.864
49,0.516,0.868
50,0.504,0.865
51,0.504,0.864
52,0.513,0.862
53,0.52,0.873
54,0.508,0.857
55,0.531,0.868
56,0.523,0.86
57,0.531,0.868
58,0.517,0.86
59,0.529,0.874
60,0.528,0.877
61,0.526,0.871
62,0.531,0.883
63,0.536,0.874
64,0.529,0.873
65,0.532,0.876
66,0.531,0.879
67,0.513,0.869
68,0.53,0.868
69,0.526,0.88
70,0.521,0.88
71,0.516,0.877
72,0.531,0.879
73,0.522,0.874
74,0.528,0.874
75,0.523,0.872
76,0.525,0.873
77,0.525,0.871
78,0.528,0.872
79,0.53,0.87
80,0.525,0.869
81,0.531,0.871
82,0.532,0.874
83,0.528,0.872
84,0.531,0.873
85,0.527,0.876
86,0.525,0.877
87,0.524,0.876
88,0.523,0.877
89,0.522,0.876
90,0.523,0.876
91,0.525,0.877
92,0.525,0.877
93,0.526,0.877
94,0.526,0.876
95,0.527,0.875
96,0.527,0.878
97,0.528,0.878
98,0.526,0.874
99,0.529,0.879
100,0.528,0.875
