epoch,bbox_mAP,bbox_mAP_50
4,0.0,0.001
5,0.02,0.051
6,0.066,0.187
7,0.171,0.437
8,0.208,0.578
9,0.285,0.674
10,0.298,0.721
11,0.315,0.741
12,0.336,0.75
13,0.353,0.755
14,0.346,0.758
15,0.361,0.772
16,0.366,0.785
17,0.386,0.799
18,0.387,0.802
19,0.391,0.809
20,0.386,0.801
21,0.389,0.797
22,0.393,0.806
23,0.386,0.798
24,0.389,0.804
25,0.385,0.801
26,0.386,0.801
27,0.388,0.8
28,0.388,0.799
29,0.39,0.8
30,0.389,0.804
31,0.387,0.801
32,0.388,0.804
33,0.389,0.799
34,0.388,0.804
35,0.388,0.804
36,0.386,0.801
37,0.384,0.803
38,0.385,0.804
39,0.385,0.802
40,0.387,0.804
41,0.386,0.803
42,0.387,0.804
43,0.387,0.804
44,0.385,0.804
45,0.388,0.804
46,0.389,0.804
47,0.388,0.805
48,0.387,0.804
49,0.385,0.805
50,0.388,0.803
51,0.387,0.804
52,0.387,0.804
53,0.388,0.804
54,0.389,0.804
55,0.387,0.805
56,0.389,0.805
57,0.387,0.803
58,0.386,0.805
59,0.389,0.805
60,0.386,0.805
61,0.387,0.804
62,0.387,0.805
63,0.387,0.81
64,0.388,0.803
65,0.387,0.803
66,0.389,0.804
67,0.388,0.805
68,0.387,0.81
69,0.385,0.803
70,0.387,0.804
71,0.387,0.803
72,0.387,0.804
73,0.388,0.803
74,0.386,0.811
75,0.388,0.803
76,0.387,0.809
77,0.388,0.802
78,0.387,0.809
79,0.388,0.803
80,0.389,0.809
81,0.386,0.812
82,0.386,0.803
83,0.387,0.81
84,0.388,0.81
85,0.387,0.81
86,0.387,0.81
87,0.388,0.81
88,0.387,0.811
89,0.389,0.804
90,0.389,0.803
91,0.387,0.81
92,0.387,0.81
93,0.385,0.81
94,0.388,0.811
95,0.386,0.806
96,0.388,0.811
97,0.387,0.806
98,0.388,0.81
99,0.388,0.806
100,0.387,0.806
