epoch,bbox_mAP,bbox_mAP_50
1,0.009,0.025
2,0.026,0.071
3,0.194,0.476
4,0.321,0.685
5,0.378,0.746
6,0.483,0.85
7,0.489,0.857
8,0.471,0.88
9,0.487,0.831
10,0.528,0.891
11,0.509,0.871
12,0.521,0.886
13,0.482,0.879
14,0.516,0.879
15,0.483,0.841
16,0.523,0.878
17,0.517,0.872
18,0.534,0.883
19,0.526,0.896
20,0.538,0.873
21,0.516,0.874
22,0.53,0.892
23,0.53,0.887
24,0.526,0.872
25,0.518,0.892
26,0.491,0.86
27,0.497,0.88
28,0.502,0.879
29,0.511,0.873
30,0.513,0.874
31,0.49,0.854
32,0.482,0.83
33,0.525,0.873
34,0.511,0.862
35,0.51,0.87
36,0.518,0.884
37,0.508,0.865
38,0.528,0.877
39,0.511,0.886
40,0.501,0.865
41,0.525,0.875
42,0.514,0.876
43,0.506,0.865
44,0.524,0.867
45,0.525,0.88
46,0.525,0.877
47,0.517,0.862
48,0.506,0.856
49,0.519,0.869
50,0.521,0.867
51,0.517,0.857
52,0.526,0.869
53,0.519,0.87
54,0.526,0.871
55,0.526,0.875
56,0.526,0.867
57,0.54,0.878
58,0.528,0.863
59,0.544,0.862
60,0.534,0.866
61,0.536,0.871
62,0.529,0.868
63,0.537,0.873
64,0.532,0.871
65,0.536,0.869
66,0.539,0.872
67,0.54,0.869
68,0.532,0.863
69,0.537,0.87
70,0.547,0.876
71,0.542,0.869
72,0.538,0.87
73,0.538,0.867
74,0.534,0.868
75,0.539,0.868
76,0.541,0.871
77,0.54,0.866
78,0.539,0.873
79,0.537,0.87
80,0.54,0.87
81,0.534,0.867
82,0.541,0.871
83,0.537,0.868
84,0.536,0.867
85,0.54,0.871
86,0.533,0.866
87,0.53,0.865
88,0.538,0.867
89,0.535,0.866
90,0.537,0.864
91,0.538,0.865
92,0.533,0.866
93,0.536,0.866
94,0.535,0.866
95,0.538,0.867
96,0.534,0.866
97,0.535,0.866
98,0.537,0.866
99,0.534,0.866
100,0.536,0.867
